Game,Score,Epsilon,Reward,Loss,Q_value
539.0,0,500.0,3.0,0.0,1.0
540.0,0,500.0,3.0,1.0,2.0
541.0,0,500.0,3.0,0.0,5.0
542.0,0,500.0,3.0,0.0,5.0
543.0,0,500.0,3.0,0.0,3.0
544.0,0,500.0,3.0,0.0,4.0
545.0,0,500.0,3.0,1.0,4.0
546.0,0,500.0,3.0,0.0,2.0
547.0,0,500.0,3.0,0.0,4.0
548.0,0,500.0,4.0,1.0,14.0
549.0,0,500.0,3.0,1.0,9.0
550.0,0,500.0,3.0,1.0,0.0
551.0,0,500.0,3.0,1.0,0.0
552.0,1,500.0,3.0,0.0,2.0
553.0,1,500.0,3.0,1.0,5.0
554.0,1,500.0,3.0,1.0,6.0
555.0,0,500.0,3.0,0.0,2.0
556.0,1,500.0,3.0,1.0,2.0
557.0,0,500.0,3.0,0.0,3.0
558.0,1,500.0,3.0,1.0,-2.0
559.0,1,500.0,3.0,0.0,6.0
560.0,0,500.0,3.0,0.0,3.0
561.0,0,500.0,3.0,0.0,3.0
562.0,0,500.0,4.0,0.0,3.0
563.0,1,500.0,3.0,0.0,4.0
564.0,1,500.0,4.0,0.0,4.0
565.0,0,500.0,4.0,0.0,4.0
566.0,0,500.0,3.0,0.0,2.0
567.0,0,500.0,3.0,0.0,4.0
568.0,0,500.0,4.0,0.0,6.0
569.0,1,500.0,3.0,0.0,6.0
570.0,1,500.0,4.0,1.0,5.0
571.0,0,500.0,3.0,0.0,4.0
572.0,0,500.0,3.0,1.0,5.0
573.0,0,500.0,3.0,0.0,5.0
574.0,0,500.0,3.0,0.0,4.0
575.0,1,500.0,3.0,0.0,2.0
576.0,0,500.0,3.0,0.0,3.0
577.0,0,500.0,3.0,1.0,6.0
578.0,0,500.0,4.0,0.0,3.0
579.0,0,500.0,3.0,0.0,3.0
580.0,0,500.0,3.0,0.0,3.0
581.0,0,500.0,3.0,1.0,1.0
582.0,1,500.0,3.0,1.0,-2.0
583.0,0,500.0,3.0,0.0,4.0
584.0,0,500.0,4.0,0.0,3.0
585.0,0,500.0,3.0,1.0,3.0
586.0,1,500.0,4.0,0.0,3.0
587.0,0,500.0,4.0,1.0,4.0
588.0,2,500.0,3.0,1.0,5.0
589.0,0,500.0,4.0,1.0,4.0
590.0,0,500.0,3.0,0.0,6.0
591.0,0,500.0,3.0,1.0,2.0
592.0,1,500.0,3.0,0.0,3.0
593.0,1,500.0,4.0,0.0,4.0
594.0,1,500.0,4.0,0.0,2.0
595.0,1,500.0,4.0,0.0,3.0
596.0,0,500.0,4.0,1.0,5.0
597.0,2,500.0,3.0,0.0,5.0
598.0,1,500.0,3.0,0.0,0.0
599.0,0,500.0,3.0,0.0,5.0
600.0,0,500.0,3.0,1.0,5.0
601.0,0,500.0,4.0,1.0,0.0
602.0,0,500.0,3.0,0.0,3.0
603.0,1,500.0,4.0,0.0,4.0
604.0,0,500.0,3.0,1.0,4.0
605.0,0,500.0,3.0,0.0,4.0
606.0,0,500.0,3.0,0.0,2.0
607.0,1,500.0,4.0,0.0,6.0
608.0,1,500.0,4.0,0.0,3.0
